indi sireid damid
f11_1003 904 f11_985
f11_1005 932 f11_996
f11_101 50 f11_76
f11_1023 919 f11_985
f11_104 42 f11_96
f11_1040 938 f11_992
f11_1047 937 f11_980
f11_1057 903 f11_1000
f11_1059 922 f11_993
f11_1065 921 f11_966
f11_107 31 f11_67
f11_1082 933 f11_958
f11_1091 939 f11_993
f11_1092 912 f11_981
f11_1096 906 f11_951
f11_1099 915 f11_988
f11_110 23 f11_79
f11_111 35 f11_77
f11_113 19 f11_79
f11_116 26 f11_68
f11_117 14 f11_94
f11_1174 1015 f11_1085
f11_119 30 f11_75
f11_1190 1004 f11_1075
f11_120 41 f11_84
f11_1201 1118 f11_1157
f11_1210 1122 f11_1166
f11_1222 1110 f11_1175
f11_125 21 f11_81
f11_1250 1133 f11_1182
f11_1259 1106 f11_1156
f11_127 13 f11_79
f11_1299 1108 f11_1177
f11_1301 1242 f11_1275
f11_1309 1228 f11_1282
f11_1310 1218 f11_1254
f11_1314 1248 f11_1268
f11_1337 1250 f11_1283
f11_134 18 f11_87
f11_1341 1210 f11_1264
f11_1342 1249 f11_1288
f11_1357 1216 f11_1267
f11_1358 1202 f11_1266
f11_1360 1236 f11_1298
f11_1362 1236 f11_1267
f11_1371 1215 f11_1289
f11_1379 1211 f11_1262
f11_1390 1216 f11_1285
f11_1392 1221 f11_1283
f11_1398 1232 f11_1278
f11_141 40 f11_91
f11_142 23 f11_71
f11_1422 1317 f11_1384
f11_143 24 f11_65
f11_1435 1336 f11_1369
f11_144 29 f11_93
f11_1451 1323 f11_1370
f11_147 29 f11_91
f11_148 46 f11_84
f11_150 23 f11_65
f11_1514 1413 f11_1494
f11_1527 1445 f11_1479
f11_1529 1440 f11_1466
f11_1536 1435 f11_1500
f11_1537 1434 f11_1476
f11_1538 1412 f11_1500
f11_1547 1444 f11_1482
f11_1554 1437 f11_1496
f11_156 14 f11_63
f11_1563 1447 f11_1500
f11_1565 1434 f11_1471
f11_157 15 f11_68
f11_1577 1417 f11_1492
f11_1581 1403 f11_1462
f11_1584 1437 f11_1493
f11_1587 1406 f11_1465
f11_159 2 f11_57
f11_1590 1439 f11_1472
f11_1597 1432 f11_1486
f11_163 35 f11_59
f11_165 25 f11_80
f11_166 44 f11_96
f11_170 5 f11_80
f11_1701 1606 f11_1659
f11_1704 1607 f11_1665
f11_1705 1648 f11_1667
f11_1707 1644 f11_1699
f11_1715 1613 f11_1699
f11_172 24 f11_72
f11_1722 1639 f11_1680
f11_1730 1648 f11_1679
f11_174 4 f11_75
f11_1743 1604 f11_1699
f11_1747 1637 f11_1661
f11_1748 1629 f11_1663
f11_175 34 f11_72
f11_1754 1636 f11_1669
f11_1760 1606 f11_1692
f11_1763 1624 f11_1654
f11_1765 1636 f11_1669
f11_1767 1630 f11_1661
f11_177 38 f11_66
f11_1772 1606 f11_1692
f11_1774 1636 f11_1691
f11_1791 1613 f11_1699
f11_1792 1602 f11_1676
f11_1794 1632 f11_1678
f11_1796 1606 f11_1660
f11_1797 1610 f11_1692
f11_180 23 f11_51
f11_1842 1705 f11_1788
f11_1852 1737 f11_1769
f11_187 4 f11_72
f11_188 33 f11_76
f11_1884 1749 f11_1757
f11_190 43 f11_58
f11_191 35 f11_54
f11_192 43 f11_96
f11_1961 1842 f11_1871
f11_197 25 f11_77
f11_1978 1823 f11_1873
f11_198 41 f11_96
f11_1999 1807 f11_1873
f11_2006 1950 f11_1980
f11_2009 1932 f11_1963
f11_2014 1947 f11_1995
f11_2018 1931 f11_1951
f11_2020 1909 f11_1962
f11_2021 1910 f11_1996
f11_2027 1948 f11_1966
f11_2028 1901 f11_1958
f11_2030 1905 f11_1975
f11_2040 1913 f11_1994
f11_2047 1938 f11_1974
f11_2052 1913 f11_1951
f11_2057 1937 f11_1953
f11_2059 1914 f11_1981
f11_2065 1949 f11_1959
f11_2074 1904 f11_1981
f11_2079 1943 f11_1994
f11_2083 1904 f11_1985
f11_2087 1908 f11_1957
f11_2093 1921 f11_1976
f11_2094 1948 f11_1953
f11_2097 1945 f11_1960
f11_2306 2242 f11_2258
f11_2308 2245 f11_2262
f11_2313 2218 f11_2281
f11_2318 2229 f11_2282
f11_2325 2208 f11_2258
f11_2346 2230 f11_2254
f11_236 133 f11_151
f11_2362 2213 f11_2277
f11_2377 2228 f11_2282
f11_2380 2211 f11_2276
f11_2391 2225 f11_2282
f11_2393 2217 f11_2260
f11_240 123 f11_167
f11_2420 2310 f11_2361
f11_2440 2319 f11_2395
f11_2443 2304 f11_2378
f11_2445 2347 f11_2353
f11_2457 2319 f11_2371
f11_2458 2320 f11_2358
f11_2467 2317 f11_2361
f11_2494 2346 f11_2389
f11_2496 2307 f11_2385
f11_2497 2311 f11_2364
f11_2499 2343 f11_2378
f11_2508 2401 f11_2469
f11_2509 2432 f11_2471
f11_2514 2433 f11_2498
f11_2542 2408 f11_2487
f11_2548 2429 f11_2475
f11_2555 2407 f11_2454
f11_2556 2409 f11_2476
f11_2560 2448 f11_2481
f11_2570 2449 f11_2491
f11_2572 2410 f11_2483
f11_2610 2544 f11_2597
f11_2612 2505 f11_2599
f11_2614 2520 f11_2558
f11_2616 2545 f11_2586
f11_2622 2515 f11_2551
f11_2635 2510 f11_2599
f11_265 127 f11_194
f11_2662 2545 f11_2566
f11_2667 2529 f11_2568
f11_2678 2528 f11_2574
f11_2679 2513 f11_2594
f11_2693 2530 f11_2564
f11_2694 2527 f11_2580
f11_276 139 f11_153
f11_2802 2728 f11_2766
f11_2804 2745 f11_2765
f11_2810 2702 f11_2754
f11_2813 2705 f11_2788
f11_2817 2744 f11_2766
f11_2821 2732 f11_2755
f11_2822 2714 f11_2791
f11_2825 2727 f11_2792
f11_2826 2738 f11_2793
f11_2833 2719 f11_2795
f11_2834 2748 f11_2795
f11_2841 2703 f11_2783
f11_2844 2716 f11_2773
f11_2845 2716 f11_2784
f11_2850 2713 f11_2768
f11_2859 2702 f11_2792
f11_2864 2727 f11_2757
f11_2869 2721 f11_2781
f11_2870 2738 f11_2755
f11_2879 2713 f11_2788
f11_2880 2719 f11_2784
f11_2883 2721 f11_2799
f11_2884 2743 f11_2781
f11_2889 2744 f11_2781
f11_2892 2712 f11_2778
f11_2913 2822 f11_2858
f11_2914 2827 f11_2865
f11_2926 2830 f11_2900
f11_2929 2804 f11_2857
f11_2936 2832 f11_2863
f11_2937 2803 f11_2873
f11_2949 2829 f11_2867
f11_2980 2811 f11_2876
f11_3011 2925 f11_2999
f11_302 202 f11_286
f11_3028 2915 f11_2971
f11_3034 2946 f11_2998
f11_3038 2922 f11_2979
f11_304 217 f11_264
f11_3084 2927 f11_2951
f11_3095 2946 f11_2958
f11_312 240 f11_260
f11_3136 3029 f11_3054
f11_3139 3023 f11_3090
f11_316 224 f11_251
f11_3168 3015 f11_3075
f11_3196 3014 f11_3059
f11_3304 3248 f11_3256
f11_3305 3218 f11_3263
f11_3306 3202 f11_3252
f11_331 224 f11_291
f11_3312 3236 f11_3295
f11_3317 3202 f11_3275
f11_3321 3234 f11_3277
f11_3322 3250 f11_3300
f11_3324 3221 f11_3283
f11_3327 3214 f11_3258
f11_3329 3211 f11_3251
f11_3333 3245 f11_3269
f11_3338 3247 f11_3300
f11_3339 3218 f11_3269
f11_3342 3206 f11_3283
f11_3343 3236 f11_3267
f11_3344 3204 f11_3263
f11_335 220 f11_283
f11_3351 3223 f11_3258
f11_3355 3204 f11_3285
f11_3358 3242 f11_3285
f11_3366 3210 f11_3291
f11_3368 3244 f11_3253
f11_3370 3250 f11_3296
f11_3371 3233 f11_3251
f11_3374 3215 f11_3299
f11_3377 3204 f11_3298
f11_3391 3232 f11_3271
f11_3400 3219 f11_3254
f11_342 227 f11_269
f11_3426 3323 f11_3379
f11_3429 3315 f11_3359
f11_343 224 f11_263
f11_3432 3328 f11_3369
f11_344 224 f11_261
f11_3442 3317 f11_3392
f11_3450 3332 f11_3389
f11_3472 3346 f11_3369
f11_3480 3331 f11_3381
f11_3482 3343 f11_3383
f11_3494 3306 f11_3381
f11_3509 3430 f11_3479
f11_352 212 f11_260
f11_3523 3418 f11_3470
f11_353 250 f11_300
f11_3541 3406 f11_3462
f11_3542 3422 f11_3499
f11_356 213 f11_281
f11_3567 3411 f11_3453
f11_3576 3449 f11_3466
f11_358 222 f11_300
f11_3583 3447 f11_3495
f11_3594 3423 f11_3455
f11_3616 3510 f11_3569
f11_3634 3538 f11_3595
f11_3646 3523 f11_3595
f11_3649 3545 f11_3570
f11_3653 3502 f11_3586
f11_3657 3547 f11_3579
f11_3659 3501 f11_3565
f11_3667 3526 f11_3579
f11_3672 3529 f11_3590
f11_3718 3601 f11_3683
f11_372 248 f11_294
f11_376 221 f11_270
f11_3767 3610 f11_3691
f11_3791 3638 f11_3674
f11_3794 3602 f11_3676
f11_380 219 f11_287
f11_3807 3703 f11_3787
f11_3817 3714 f11_3792
f11_382 235 f11_294
f11_3842 3750 f11_3775
f11_3870 3703 f11_3766
f11_388 250 f11_271
f11_3889 3706 f11_3790
f11_3891 3725 f11_3771
f11_3910 3816 f11_3884
f11_3995 3842 f11_3876
f11_401 343 f11_391
f11_4010 3924 f11_3968
f11_4021 3931 f11_3964
f11_404 305 f11_399
f11_4047 3905 f11_3966
f11_4048 3944 f11_3963
f11_4055 3938 f11_3992
f11_4065 3902 f11_3958
f11_4066 3913 f11_3980
f11_4100 3934 f11_3963
f11_4116 4030 f11_4062
f11_4117 4028 f11_4067
f11_4143 4030 f11_4061
f11_4148 4021 f11_4083
f11_4179 4019 f11_4090
f11_4190 4008 f11_4076
f11_4192 4042 f11_4077
f11_4206 4114 f11_4154
f11_4209 4128 f11_4163
f11_4212 4140 f11_4178
f11_4216 4134 f11_4186
f11_422 345 f11_395
f11_4227 4146 f11_4171
f11_4234 4102 f11_4185
f11_4243 4120 f11_4194
f11_4248 4139 f11_4180
f11_426 342 f11_370
f11_4271 4117 f11_4195
f11_4281 4127 f11_4184
f11_4286 4123 f11_4156
f11_4288 4119 f11_4198
f11_4290 4102 f11_4166
f11_4295 4137 f11_4180
f11_4296 4126 f11_4188
f11_4298 4110 f11_4162
f11_4304 4233 f11_4264
f11_4317 4243 f11_4257
f11_4320 4205 f11_4280
f11_4324 4222 f11_4277
f11_433 303 f11_360
f11_4350 4216 f11_4280
f11_4351 4221 f11_4262
f11_4369 4201 f11_4284
f11_4371 4211 f11_4267
f11_4377 4204 f11_4284
f11_4380 4227 f11_4277
f11_4381 4222 f11_4284
f11_4396 4237 f11_4279
f11_4432 4349 f11_4368
f11_4436 4306 f11_4358
f11_4439 4327 f11_4399
f11_445 311 f11_399
f11_4455 4332 f11_4385
f11_446 301 f11_395
f11_4462 4342 f11_4363
f11_4475 4304 f11_4388
f11_4478 4302 f11_4392
f11_4479 4327 f11_4393
f11_450 318 f11_369
f11_451 316 f11_362
f11_453 304 f11_362
f11_4602 4543 f11_4590
f11_4604 4510 f11_4555
f11_4609 4505 f11_4590
f11_4611 4538 f11_4555
f11_4616 4521 f11_4578
f11_4623 4535 f11_4596
f11_4628 4507 f11_4566
f11_4632 4517 f11_4573
f11_4640 4528 f11_4596
f11_4647 4513 f11_4596
f11_4648 4541 f11_4583
f11_4650 4548 f11_4583
f11_4654 4526 f11_4557
f11_4656 4542 f11_4566
f11_4661 4548 f11_4580
f11_4664 4545 f11_4569
f11_4666 4509 f11_4571
f11_4672 4522 f11_4597
f11_4681 4502 f11_4576
f11_4683 4503 f11_4572
f11_4685 4502 f11_4573
f11_4690 4542 f11_4576
f11_4700 4543 f11_4586
f11_4706 4617 f11_4677
f11_4711 4633 f11_4689
f11_4713 4644 f11_4677
f11_4717 4604 f11_4682
f11_472 344 f11_362
f11_4724 4608 f11_4689
f11_4727 4642 f11_4689
f11_4728 4644 f11_4691
f11_4734 4642 f11_4674
f11_4735 4626 f11_4677
f11_4742 4630 f11_4688
f11_4744 4616 f11_4662
