indi test_time age state gender farm trBVs
f11_22417 0 26.7 0 F 11 -0.392600725576914
f11_22417 51.8 78.5 0 F 11 -0.392600725576914
f11_22417 75.3 102 0 F 11 -0.392600725576914
f11_22436 0 102 1 F 11 -0.134090360679134
f11_22436 51.8 153.7 1 F 11 -0.134090360679134
f11_22436 78.5 180.4 1 F 11 -0.134090360679134
f11_22461 0 71 1 F 11 0.0930697854726311
f11_22461 9.7 80.7 1 F 11 0.0930697854726311
f11_22467 0 67.3 1 F 11 0.322165716519238
f11_22467 51.8 119.1 1 F 11 0.322165716519238
f11_22467 82.5 149.8 1 F 11 0.322165716519238
f11_22479 51.8 102.5 0 F 11 0.47186066867337
f11_22479 103.8 154.5 0 F 11 0.47186066867337
f11_22479 155.7 206.4 0 F 11 0.47186066867337
f11_22479 172.2 222.9 0 F 11 0.47186066867337
f11_22484 0 13 0 F 11 0.255336524363009
f11_22484 51.8 64.8 0 F 11 0.255336524363009
f11_22484 103.8 116.8 0 F 11 0.255336524363009
f11_22484 155.7 168.7 1 F 11 0.255336524363009
f11_22484 163.6 176.6 1 F 11 0.255336524363009
f11_22543 0 140 1 F 11 -0.359183463591023
f11_22543 33.3 173.3 1 F 11 -0.359183463591023
f11_22549 155.7 131.5 0 F 11 0.0145237239593505
f11_22549 208 183.7 0 F 11 0.0145237239593505
f11_22549 226.4 202.2 0 F 11 0.0145237239593505
f11_22557 208 108.9 0 F 11 -0.469532309375251
f11_22557 252.7 153.7 0 F 11 -0.469532309375251
f11_22569 0 62.5 1 F 11 0.715746642016157
f11_22569 36.9 99.4 1 F 11 0.715746642016157
f11_22575 0 12 0 F 11 -0.25829443930882
f11_22575 51.8 63.8 0 F 11 -0.25829443930882
f11_22575 103.8 115.8 1 F 11 -0.25829443930882
f11_22575 155.7 167.7 1 F 11 -0.25829443930882
f11_22575 171.5 183.5 1 F 11 -0.25829443930882
f11_22580 155.7 121.9 0 F 11 -0.11456443277484
f11_22580 178.6 144.8 0 F 11 -0.11456443277484
f11_22581 0 114.7 1 F 11 0.61277884325316
f11_22581 51.8 166.4 1 F 11 0.61277884325316
f11_22581 103.8 218.5 1 F 11 0.61277884325316
f11_22581 116.8 231.4 1 F 11 0.61277884325316
f11_22595 0 16 0 F 11 1.0177713336946
f11_22595 51.8 67.8 1 F 11 1.0177713336946
f11_22595 103.8 119.8 1 F 11 1.0177713336946
f11_22595 155.7 171.7 1 F 11 1.0177713336946
f11_22595 169.8 185.8 1 F 11 1.0177713336946
f11_22599 0 66 0 F 11 -0.633490455515327
f11_22599 51.8 117.8 0 F 11 -0.633490455515327
f11_22599 103.8 169.8 0 F 11 -0.633490455515327
f11_22599 155.7 221.7 0 F 11 -0.633490455515327
f11_22599 208 274 0 F 11 -0.633490455515327
f11_22599 244.7 310.7 0 F 11 -0.633490455515327
f11_22604 0 82 0 F 11 0.154489786193543
f11_22604 51.8 133.8 0 F 11 0.154489786193543
f11_22604 103.8 185.8 0 F 11 0.154489786193543
f11_22604 155.7 237.7 0 F 11 0.154489786193543
f11_22604 208 290 0 F 11 0.154489786193543
f11_22604 260 342 0 F 11 0.154489786193543
f11_22610 0 150 0 F 11 -0.869374845939391
f11_22610 51.8 201.8 0 F 11 -0.869374845939391
f11_22610 82.3 232.3 0 F 11 -0.869374845939391
f11_22616 260 135.3 0 F 11 -0.113464021721147
f11_22630 0 26 0 F 11 0.194103343526742
f11_22630 51.8 77.8 1 F 11 0.194103343526742
f11_22630 76.7 102.7 1 F 11 0.194103343526742
f11_22632 0 24 0 F 11 -0.0474928846538351
f11_22632 51.8 75.8 0 F 11 -0.0474928846538351
f11_22632 80.9 104.9 0 F 11 -0.0474928846538351
f11_22660 208 123.1 0 F 11 0.00626359553312994
f11_22660 209.2 124.3 0 F 11 0.00626359553312994
f11_22667 0 51 0 F 11 -0.679112097558304
f11_22667 51.8 102.8 0 F 11 -0.679112097558304
f11_22667 103.8 154.8 0 F 11 -0.679112097558304
f11_22667 155.7 206.7 0 F 11 -0.679112097558304
f11_22667 208 259 0 F 11 -0.679112097558304
f11_22667 251.6 302.6 0 F 11 -0.679112097558304
f11_22675 0 17 0 F 11 -0.0845462093013102
f11_22675 51.8 68.8 0 F 11 -0.0845462093013102
f11_22675 94.6 111.6 0 F 11 -0.0845462093013102
f11_22681 260 151.2 0 F 11 0.879579644404833
f11_22688 0 0 0 F 11 0.318576538326236
f11_22688 51.8 51.8 0 F 11 0.318576538326236
f11_22688 103.8 103.8 0 F 11 0.318576538326236
f11_22688 111.9 111.9 0 F 11 0.318576538326236
f11_22699 0 69.6 1 F 11 -0.0869675287110566
f11_22699 48.9 118.5 1 F 11 -0.0869675287110566
f11_22753 155.7 136.3 0 F 11 -0.405097923316593
f11_22753 208 188.6 0 F 11 -0.405097923316593
f11_22753 240.3 221 0 F 11 -0.405097923316593
f11_22794 0 72 0 F 11 -0.0696477972428556
f11_22794 51.8 123.8 0 F 11 -0.0696477972428556
f11_22794 58.2 130.2 0 F 11 -0.0696477972428556
f11_22795 130 107.7 0 F 11 0.355697848047309
f11_22802 0 98 0 F 11 0.517649652246202
f11_22802 34.2 132.2 1 F 11 0.517649652246202
f11_22807 0 63.9 1 F 11 -0.628270072956726
f11_22807 51.8 115.7 1 F 11 -0.628270072956726
f11_22807 81.9 145.8 1 F 11 -0.628270072956726
f11_22816 0 82 0 F 11 -0.191555329212203
f11_22816 51.8 133.8 0 F 11 -0.191555329212203
f11_22816 54.4 136.4 0 F 11 -0.191555329212203
f11_22824 0 26 0 F 11 0.679670668784263
f11_22824 51.8 77.8 1 F 11 0.679670668784263
f11_22824 55.5 81.5 1 F 11 0.679670668784263
f11_22827 0 122 1 F 11 -0.202092438544941
f11_22827 51.8 173.8 1 F 11 -0.202092438544941
f11_22827 103.8 225.9 1 F 11 -0.202092438544941
f11_22827 130 252 1 F 11 -0.202092438544941
f11_22834 0 253 0 F 11 0.0947181405371935
f11_22834 20.1 273.1 0 F 11 0.0947181405371935
f11_22835 0 111.6 1 F 11 0.332592379267437
f11_22835 37.9 149.6 1 F 11 0.332592379267437
f11_22838 0 173 0 F 11 -0.316707553202777
f11_22838 51.8 224.8 0 F 11 -0.316707553202777
f11_22838 103.8 276.8 0 F 11 -0.316707553202777
f11_22838 155.7 328.7 0 F 11 -0.316707553202777
