indi test_time age state gender farm trBVs
f11_22417 0 26.7 0 F 11 -0.392600725576914
f11_22417 12.9 39.6 0 F 11 -0.392600725576914
f11_22417 26 52.7 0 F 11 -0.392600725576914
f11_22417 38.9 65.6 0 F 11 -0.392600725576914
f11_22417 51.8 78.5 0 F 11 -0.392600725576914
f11_22417 64.5 91.2 0 F 11 -0.392600725576914
f11_22417 75.3 102 0 F 11 -0.392600725576914
f11_22436 0 102 1 F 11 -0.134090360679134
f11_22436 12.9 114.9 1 F 11 -0.134090360679134
f11_22436 26 127.9 1 F 11 -0.134090360679134
f11_22436 38.9 140.9 1 F 11 -0.134090360679134
f11_22436 51.8 153.7 1 F 11 -0.134090360679134
f11_22436 64.5 166.5 1 F 11 -0.134090360679134
f11_22436 77.8 179.8 1 F 11 -0.134090360679134
f11_22436 78.5 180.4 1 F 11 -0.134090360679134
f11_22461 0 71 1 F 11 0.0930697854726311
f11_22461 9.7 80.7 1 F 11 0.0930697854726311
f11_22467 0 67.3 1 F 11 0.322165716519238
f11_22467 12.9 80.2 1 F 11 0.322165716519238
f11_22467 26 93.3 1 F 11 0.322165716519238
f11_22467 38.9 106.3 1 F 11 0.322165716519238
f11_22467 51.8 119.1 1 F 11 0.322165716519238
f11_22467 64.5 131.9 1 F 11 0.322165716519238
f11_22467 77.8 145.1 1 F 11 0.322165716519238
f11_22467 82.5 149.8 1 F 11 0.322165716519238
f11_22479 51.8 102.5 0 F 11 0.47186066867337
f11_22479 64.5 115.2 0 F 11 0.47186066867337
f11_22479 77.8 128.5 0 F 11 0.47186066867337
f11_22479 91 141.7 0 F 11 0.47186066867337
f11_22479 103.8 154.5 0 F 11 0.47186066867337
f11_22479 117 167.7 0 F 11 0.47186066867337
f11_22479 130 180.7 0 F 11 0.47186066867337
f11_22479 143 193.7 0 F 11 0.47186066867337
f11_22479 155.7 206.4 0 F 11 0.47186066867337
f11_22479 168.8 219.6 0 F 11 0.47186066867337
f11_22479 172.2 222.9 0 F 11 0.47186066867337
f11_22484 0 13 0 F 11 0.255336524363009
f11_22484 12.9 25.9 0 F 11 0.255336524363009
f11_22484 26 39 0 F 11 0.255336524363009
f11_22484 38.9 51.9 0 F 11 0.255336524363009
f11_22484 51.8 64.8 0 F 11 0.255336524363009
f11_22484 64.5 77.5 0 F 11 0.255336524363009
f11_22484 77.8 90.8 0 F 11 0.255336524363009
f11_22484 91 104 0 F 11 0.255336524363009
f11_22484 103.8 116.8 0 F 11 0.255336524363009
f11_22484 117 130 0 F 11 0.255336524363009
f11_22484 130 143 0 F 11 0.255336524363009
f11_22484 143 156 1 F 11 0.255336524363009
f11_22484 155.7 168.7 1 F 11 0.255336524363009
f11_22484 163.6 176.6 1 F 11 0.255336524363009
f11_22543 0 140 1 F 11 -0.359183463591023
f11_22543 12.9 152.9 1 F 11 -0.359183463591023
f11_22543 26 166 1 F 11 -0.359183463591023
f11_22543 33.3 173.3 1 F 11 -0.359183463591023
f11_22549 130 105.8 0 F 11 0.0145237239593505
f11_22549 143 118.7 0 F 11 0.0145237239593505
f11_22549 155.7 131.5 0 F 11 0.0145237239593505
f11_22549 168.8 144.6 0 F 11 0.0145237239593505
f11_22549 182 157.7 0 F 11 0.0145237239593505
f11_22549 195 170.8 0 F 11 0.0145237239593505
f11_22549 208 183.7 0 F 11 0.0145237239593505
f11_22549 220.4 196.2 0 F 11 0.0145237239593505
f11_22549 226.4 202.2 0 F 11 0.0145237239593505
f11_22557 208 108.9 0 F 11 -0.469532309375251
f11_22557 220.4 121.4 0 F 11 -0.469532309375251
f11_22557 233.9 134.9 0 F 11 -0.469532309375251
f11_22557 246.8 147.7 0 F 11 -0.469532309375251
f11_22557 252.7 153.7 0 F 11 -0.469532309375251
f11_22569 0 62.5 1 F 11 0.715746642016157
f11_22569 12.9 75.4 1 F 11 0.715746642016157
f11_22569 26 88.4 1 F 11 0.715746642016157
f11_22569 36.9 99.4 1 F 11 0.715746642016157
f11_22575 0 12 0 F 11 -0.25829443930882
f11_22575 12.9 24.9 1 F 11 -0.25829443930882
f11_22575 26 38 0 F 11 -0.25829443930882
f11_22575 38.9 50.9 0 F 11 -0.25829443930882
f11_22575 51.8 63.8 0 F 11 -0.25829443930882
f11_22575 64.5 76.5 0 F 11 -0.25829443930882
f11_22575 77.8 89.8 1 F 11 -0.25829443930882
f11_22575 91 103 1 F 11 -0.25829443930882
f11_22575 103.8 115.8 1 F 11 -0.25829443930882
f11_22575 117 129 1 F 11 -0.25829443930882
f11_22575 130 142 1 F 11 -0.25829443930882
f11_22575 143 155 1 F 11 -0.25829443930882
f11_22575 155.7 167.7 1 F 11 -0.25829443930882
f11_22575 168.8 180.8 1 F 11 -0.25829443930882
f11_22575 171.5 183.5 1 F 11 -0.25829443930882
f11_22580 143 109.2 0 F 11 -0.11456443277484
f11_22580 155.7 121.9 0 F 11 -0.11456443277484
f11_22580 168.8 135.1 0 F 11 -0.11456443277484
f11_22580 178.6 144.8 0 F 11 -0.11456443277484
f11_22581 0 114.7 1 F 11 0.61277884325316
f11_22581 12.9 127.5 1 F 11 0.61277884325316
f11_22581 26 140.6 1 F 11 0.61277884325316
f11_22581 38.9 153.6 1 F 11 0.61277884325316
f11_22581 51.8 166.4 1 F 11 0.61277884325316
f11_22581 64.5 179.2 1 F 11 0.61277884325316
f11_22581 77.8 192.5 1 F 11 0.61277884325316
f11_22581 91 205.6 1 F 11 0.61277884325316
f11_22581 103.8 218.5 1 F 11 0.61277884325316
